Site	Mid_line_Diameter 	MD_um	Petiole_Diameter 		Beaver
8	139.54	13954	6.96		N
8	176	17600	8.26		N
9	84.7	8470	4.38		N
9	124.69	12469	5.94		N
9	131.01	13101	6.06		N
9	44.13	4413	3.16		N
9	45.35	4535	3.06		N
9	40.74	4074	2.54		N
9	80.48	8048	3.9		N
9	67.04	6704	3.2		N
9	179	17900	8.59		N
9	81.22	8122	3.98		N
9	96.29	9629	4.84		N
9	150	15000	7.57		N
9	196	19600	8.29		N
9	58.4	5840	3.51		N
9	100	10000	6.18		N
9	87.96	8796	4.81		N
9	155.88	15588	7.1		N
9	123.39	12339	4.9		N
9	116.16	11616	6.09		N
9	144.11	14411	6.95		N
9	128.53	12853	6.39		N
9	115.24	11524	6.46		N
9	156.94	15694	7.56		N
9	116.26	11626	5.14		N
9	85.92	8592	4.3		N
9	93.23	9323	5.8		N
9	134.9	13490	6.83		Y
9	115.44	11544	6.28		Y
9	150.18	15018	7.47		Y
9	131.64	13164	7.58		Y
9	127.05	12705	6.83		Y
10	106.19	10619	5.93		Y
10	69.52	6952	4.08		Y
10	134.85	13485	7.76		Y
10	89.21	8921	6.52		Y
10	126.78	12678	6.73		Y
10	169	16900	9.05		Y
10	107.31	10731	5.75		Y
10	81.38	8138	6.24		Y
10	90.51	9051	5.21		Y
10	131.57	13157	7.04		Y
10	123.02	12302	7.83		Y
10	119.11	11911	5.93		Y
11	143	14300	7.42		N
11	58	5800	3.58		N
11	149	14900	7.47		N
11	98	9800	6.07		N
11	115	11500	6.81		N
11	151	15100	8.05		N
11	150	15000	7.24		N
11	140	14000	7.9		N
11	126	12600	6.15		N
11	134	13400	6.2		N
11	114	11400	7.26		N
11	104	10400	7.06		N
11	115	11500	6.45		N
11	78	7800	3.66		N
11	82	8200	4.37		N
11	82	8200	4.55		N
11	66	6600	3.81		N
11	60	6000	2.77		N
11	39	3900	1.91		N
11	43	4300	2.62		N
12	48	4800	2.39		N
12	85	8500	4.22		N
12	61	6100	2.41		N
12	103	10300	5.54		N
12	71	7100	3.56		N
12	137	13700	5.72		N
12	94	9400	4.72		N
12	106	10600	5.05		N
12	130	13000	6.76		N
12	103	10300	5.64		N
12	78	7800	4.06		N
12	193	19300	9.25		N
12	134	13400	5.99		N
12	112	11200	4.57		N
12	161	16100	6.96		N
12	154	15400	6.78		N
12	148	14800	7.29		N
12	105	10500	5.16		N
12	195	19500	8.64		N
12	156	15600	7.01		N
13	47	4700	2.39		N
13	85	8500	4.65		N
13	111	11100	5.16		N
13	57	5700	2.87		N
13	160	16000	6.63		N
13	173	17300	7.42		N
13	91	9100	3.66		N
13	152	15200	7.26		N
13	72	7200	3.71		N
13	68	6800	3.2		N
13	123	12300	5.99		N
13	116	11600	6.38		N
13	115	11500	5.49		N
13	110	11000	4.93		N
13	163	16300	7.29		N
13	134	13400	6.1		N
13	134	13400	5.97		N
13	193	19300	9.93		N
13	180	18000	8.28		N
13	152	15200	7.24		N
14	49	4900	2.97		N
14	112	11200	6.68		N
14	71	7100	3.78		N
14	187	18700	7.11		N
14	57	5700	2.74		N
14	100	10000	4.75		N
14	102	10200	5.59		N
14	82	8200	3.94		N
14	124	12400	5.44		N
14	103	10300	4.98		N
14	85	8500	4.24		N
14	103	10300	5.51		N
14	165	16500	6.48		N
14	108	10800	5.69		N
14	56	5600	2.79		N
14	125	12500	5.72		N
14	88	8800	4.39		N
14	144	14400	7.19		N
14	153	15300	7.29		N
14	176	17600	8.18		N
15	54	5400	2.84		N
15	96	9600	4.19		N
15	147	14700	6.5		N
15	60	6000	3.2		N
15	68	6800	4.14		N
15	53	5300	2.51		N
15	180	18000	8.53		N
15	119	11900	6.25		N
15	127	12700	6.17		N
15	52	5200	3.53		N
15	94	9400	5.03		N
15	112	11200	6.1		N
15	98	9800	4.98		N
15	107	10700	5.21		N
15	99	9900	5.03		N
15	171	17100	7.19		N
15	128	12800	6.32		N
15	139	13900	7.04		N
15	112	11200	6.35		N
15	131	13100	6.3		N
16	78	7800	3.73		N
16	110	11000	5.21		N
16	96	9600	3.78		N
16	77	7700	3.71		N
16	154	15400	6.93		N
16	153	15300	6.4		N
16	30	3000	1.57		N
16	65	6500	3.2		N
16	105	10500	4.55		N
16	50	5000	2.62		N
16	69	6900	3.48		N
16	57	5700	2.67		N
16	216	21600	9.4		N
16	157	15700	6.86		N
16	145	14500	6.2		N
16	116	11600	4.93		N
16	118	11800	5.18		N
16	152	15200	6.12		N
16	166	16600	7.26		N
16	205	20500	9.14		N
17	138	13800	6.12		N
17	53	5300	3.23		N
17	136	13600	7.04		N
17	51	5100	3.05		N
17	151	15100	7.06		N
17	176	17600	9.58		N
17	53	5300	4.62		N
17	173	17300	8.66		N
17	65	6500	3.96		N
17	85	8500	5.26		N
17	52	5200	3.53		N
17	144	14400	8.33		N
17	112	11200	5.41		N
17	160	16000	7.32		N
17	105	10500	5.46		N
17	89	8900	4.34		N
17	121	12100	6.35		N
17	114	11400	6.12		N
17	109	10900	5.11		N
17	154	15400	8.18		N
