Species	Plot	Year	Firstegg	Cowbird
DICK	G1	1995	60	0
DICK	G1	1995	60	0
DICK	B2	1995	63	0
DICK	B4	1995	64	0
DICK	G1	1996	64	0
DICK	BF3	1996	64	0
DICK	B4	1995	68	1
DICK	B4	1996	68	0
DICK	B3	1994	76	1
DICK	G2	1995	77	0
DICK	G3	1996	78	0
DICK	B8	1993	79	0
DICK	B3	1995	89	0
DICK	B4	1995	90	0
DICK	G1	1995	93	1
DICK	B5	1994	97	0
DICK	G1	1993	98	0
DICK	G1	1995	102	0
DICK	BF3	1996	102	0
DICK	B5	1994	48	0
DICK	B3	1994	49	0
DICK	B4	1996	50	0
DICK	BF2	1996	53	0
DICK	B3	1995	59	0
DICK	B8	1995	61	0
DICK	B7	1995	61	0
DICK	G1	1994	62	0
DICK	G3	1996	64	0
DICK	45	1996	64	0
DICK	B5	1996	65	0
DICK	G3	1996	66	0
DICK	BF3	1995	67	0
DICK	B7	1996	71	1
DICK	G3	1996	71	0
DICK	G3	1996	73	1
DICK	G1	1993	74	0
DICK	36	1995	77	0
DICK	B2	1995	82	0
DICK	G1	1995	82	0
DICK	B9	1993	85	0
DICK	BF3	1995	86	0
DICK	B2	1995	96	0
DICK	B4	1995	97	0
DICK	G1	1993	99	0
DICK	B5	1995	106	0
DICK	G1	1994	113	0
DICK	G1	1994	46	0
DICK	G3	1994	51	0
DICK	B5	1996	51	1
DICK	G1	1996	54	0
DICK	G2	1994	54	1
DICK	G2	1994	54	0
DICK	B7	1995	58	0
DICK	G1	1994	61	0
DICK	B4	1996	62	0
DICK	G2	1994	63	0
DICK	G2	1994	63	0
DICK	B6	1996	65	0
DICK	B7	1995	66	0
DICK	B4	1996	68	0
DICK	G3	1996	73	0
DICK	BF3	1996	73	0
DICK	B8	1994	76	0
DICK	G1	1993	77	0
DICK	B5	1995	87	1
DICK	B3	1994	88	0
DICK	BF3	1996	94	0
DICK	B3	1995	96	1
DICK	B5	1995	97	1
DICK	BF2	1996	103	0
DICK	G1	1995	105	1
DICK	B5	1994	51	0
DICK	B3	1996	53	0
DICK	G1	1994	57	0
DICK	B5	1994	58	0
DICK	B5	1996	58	1
DICK	BF3	1995	60	0
DICK	G1	1995	63	0
DICK	B6	1994	64	0
DICK	BF2	1995	64	0
DICK	B7	1995	65	0
DICK	B7	1996	67	0
DICK	B4	1996	68	0
DICK	B9	1995	69	0
DICK	G1	1995	71	0
DICK	G3	1996	71	0
DICK	G1	1995	79	1
DICK	BF2	1993	86	0
DICK	B5	1995	87	1
DICK	G1	1994	88	0
DICK	B4	1994	97	1
DICK	G3	1996	98	0
DICK	B1	1996	101	0
DICK	B3	1996	109	0
DICK	BF3	1996	NA	0
DICK	13	1996	50	0
DICK	B4	1996	59	1
DICK	G1	1994	61	0
DICK	B4	1996	61	0
DICK	B7	1995	62	1
DICK	C1	1996	64	0
DICK	B9	1996	65	0
DICK	C2	1994	65	0
DICK	B7	1996	68	1
DICK	B5	1994	70	1
DICK	B4	1994	71	1
DICK	G3	1996	71	0
DICK	G3	1996	73	0
DICK	B9	1993	74	1
DICK	G3	1996	80	1
DICK	B4	1994	81	1
DICK	G1	1994	88	1
DICK	B1	1994	95	0
DICK	B1	1994	101	1
DICK	B2	1994	103	0
DICK	G1	1994	48	0
DICK	B5	1996	54	0
DICK	B5	1994	55	0
DICK	B4	1996	55	1
DICK	B4	1994	58	1
DICK	B8	1995	59	0
DICK	BF3	1996	59	0
DICK	BF1	1996	59	0
DICK	C1	1996	63	0
DICK	C2	1996	64	1
DICK	G1	1994	65	0
DICK	BF2	1994	65	0
DICK	BF2	1996	66	0
DICK	B1	1995	68	0
DICK	B5	1994	69	0
DICK	G1	1994	69	0
DICK	BF1	1996	69	0
DICK	BF2	1995	69	0
DICK	BF1	1996	70	0
DICK	B9	1993	71	1
DICK	B2	1994	72	0
DICK	G1	1994	75	0
DICK	BF2	1995	75	0
DICK	B4	1995	76	0
DICK	G1	1994	82	0
DICK	B8	1994	84	0
DICK	C3	1993	85	0
DICK	C3	1995	95	0
DICK	B2	1992	96	0
DICK	G1	1994	105	0
DICK	G1	1993	111	0
DICK	BF1	1996	113	0
DICK	C1	1994	54	0
DICK	B7	1996	61	0
DICK	C1	1996	62	0
DICK	G1	1994	64	0
DICK	B9	1996	65	0
DICK	B3	1992	66	1
DICK	G1	1994	70	0
DICK	BF3	1996	71	0
DICK	C1	1993	77	0
DICK	B9	1994	79	0
DICK	B9	1996	81	0
DICK	B4	1994	88	0
DICK	C2	1993	88	0
DICK	BF2	1994	90	0
DICK	BF3	1994	90	0
DICK	B5	1994	91	1
DICK	B6	1995	97	0
DICK	G1	1994	104	0
DICK	B8	1996	106	0
DICK	B1	1994	113	0
DICK	BF1	1996	115	0
DICK	B5	1996	53	0
DICK	C1	1996	57	0
DICK	B8	1994	58	0
DICK	B8	1996	60	0
DICK	B7	1995	61	0
DICK	B3	1994	61	1
DICK	G1	1992	63	0
DICK	B5	1994	64	0
DICK	B5	1996	65	0
DICK	B5	1996	66	1
DICK	B4	1995	68	1
DICK	G1	1994	68	0
DICK	B1	1996	70	0
DICK	G2	1992	72	0
DICK	B2	1995	73	0
DICK	C1	1995	74	0
DICK	B9	1996	81	0
DICK	B8	1996	81	0
DICK	BF2	1993	86	0
DICK	B5	1995	87	0
DICK	23	1994	88	0
DICK	B1	1995	89	0
DICK	B7	1995	97	0
DICK	B4	1994	99	0
DICK	B5	1996	101	0
DICK	B6	1995	102	0
DICK	B2	1994	103	0
DICK	B5	1994	107	0
DICK	B1	1994	107	0
DICK	B3	1993	107	0
DICK	B9	1994	118	0
DICK	B5	1992	47	0
DICK	B6	1996	54	0
DICK	B4	1996	56	1
DICK	B5	1995	60	0
DICK	BF3	1996	60	0
DICK	B4	1994	63	0
DICK	B8	1992	63	1
DICK	B5	1994	64	0
DICK	B7	1994	65	0
DICK	B7	1995	67	0
DICK	B1	1994	68	0
DICK	B5	1995	69	0
DICK	B8	1995	69	0
DICK	B1	1996	70	0
DICK	BF2	1996	70	0
DICK	B5	1994	73	0
DICK	BF2	1996	73	0
DICK	BF2	1996	75	1
DICK	C1	1996	79	0
DICK	43	1995	81	1
DICK	G1	1994	82	0
DICK	B8	1996	83	0
DICK	G1	1994	85	0
DICK	G1	1994	85	0
DICK	C3	1995	87	0
DICK	BF3	1994	90	0
DICK	C2	1994	90	0
DICK	BF3	1994	90	0
DICK	B9	1993	91	0
DICK	C1	1996	95	0
DICK	B1	1992	108	0
DICK	B8	1994	111	0
DICK	C3	1996	114	0
DICK	B5	1992	52	0
DICK	B2	1996	57	0
DICK	B3	1994	58	1
DICK	B8	1994	62	0
DICK	C2	1994	65	0
DICK	B7	1995	68	0
DICK	B4	1994	69	0
DICK	G1	1994	69	0
DICK	B3	1994	70	0
DICK	B8	1996	76	0
DICK	B4	1992	80	0
DICK	B2	1994	82	0
DICK	BF2	1993	86	0
DICK	B4	1994	88	0
DICK	G1	1994	88	0
DICK	B1	1994	91	0
DICK	C3	1993	93	0
DICK	G1	1993	102	0
DICK	C2	1996	107	0
DICK	B5	1992	48	0
DICK	C1	1994	51	0
DICK	B5	1992	53	0
DICK	BF3	1996	54	0
DICK	BF3	1996	55	0
DICK	B4	1992	57	0
DICK	C3	1994	57	0
DICK	C2	1994	58	0
DICK	BF3	1992	59	0
DICK	B7	1995	64	0
DICK	BF2	1996	64	0
DICK	C1	1995	65	0
DICK	C1	1995	65	0
DICK	B4	1996	66	1
DICK	B5	1996	67	0
DICK	C2	1992	67	1
DICK	C2	1994	69	0
DICK	BF1	1993	70	0
DICK	BF3	1996	71	0
DICK	BF3	1992	71	0
DICK	B9	1992	72	0
DICK	B8	1996	78	0
DICK	B5	1995	81	1
DICK	BF3	1992	81	0
DICK	B5	1994	83	1
DICK	B3	1994	91	0
DICK	B8	1993	91	0
DICK	B5	1996	92	0
DICK	C1	1992	93	0
DICK	C3	1996	94	0
DICK	C2	1993	94	0
DICK	B4	1996	100	0
DICK	B1	1993	100	0
DICK	B1	1996	101	0
DICK	B6	1994	108	0
DICK	B6	1996	108	0
DICK	B1	1994	116	0
DICK	B9	1994	48	0
DICK	B5	1992	52	1
DICK	B5	1992	58	1
DICK	B8	1996	59	0
DICK	BF1	1996	61	0
DICK	C1	1995	66	1
DICK	B4	1992	67	0
DICK	C3	1996	70	0
DICK	C1	1995	71	0
DICK	C1	1996	72	1
DICK	B4	1994	73	0
DICK	B8	1992	73	0
DICK	BF3	1992	74	0
DICK	B1	1996	78	0
DICK	B2	1996	79	0
DICK	B9	1993	80	0
DICK	BF2	1996	80	0
DICK	B4	1995	92	0
DICK	G1	1993	98	1
DICK	C2	1993	100	0
DICK	B2	1994	104	0
DICK	B1	1994	109	0
DICK	BF1	1992	53	0
DICK	BF1	1992	57	0
DICK	B5	1996	58	0
DICK	B2	1996	59	0
DICK	BF3	1996	59	0
DICK	9	1996	63	1
DICK	BF2	1996	63	0
DICK	BF1	1996	64	0
DICK	B6	1995	65	1
DICK	B7	1996	66	0
DICK	B4	1995	67	0
DICK	B5	1996	68	0
DICK	C3	1993	72	0
DICK	C3	1996	73	0
DICK	TC1	1993	73	0
DICK	BF2	1995	74	0
DICK	BF2	1996	74	0
DICK	C2	1996	75	1
DICK	BF1	1996	78	0
DICK	B3	1996	80	0
DICK	C3	1996	81	0
DICK	B9	1994	83	1
DICK	B8	1994	88	0
DICK	B4	1996	89	1
DICK	B9	1992	89	0
DICK	B1	1993	89	0
DICK	B7	1994	97	1
DICK	G1	1992	98	0
DICK	BF1	1993	101	0
DICK	BF1	1995	109	0
DICK	B4	1994	113	0
DICK	B5	1992	51	0
DICK	C3	1992	55	1
DICK	BF2	1992	57	0
DICK	G1	1992	57	0
DICK	B3	1996	61	1
DICK	BF2	1994	64	0
DICK	C1	1995	65	0
DICK	C1	1994	71	1
DICK	C2	1992	72	0
DICK	B1	1996	78	0
DICK	BF1	1996	78	0
DICK	B5	1995	84	0
DICK	G1	1994	85	0
DICK	B3	1994	88	0
DICK	BF1	1992	88	0
DICK	B4	1995	90	0
DICK	BF3	1994	90	0
DICK	B5	1994	91	0
DICK	B1	1994	95	0
DICK	B2	1996	99	0
DICK	C1	1994	100	0
DICK	C3	1993	100	0
DICK	C3	1996	105	0
DICK	G1	1995	106	0
DICK	BF2	1996	110	0
DICK	BF2	1996	110	0
DICK	BF2	1996	115	0
DICK	34	1996	56	0
DICK	B6	1996	59	0
DICK	B7	1996	67	0
DICK	B7	1995	69	0
DICK	C3	1994	81	0
DICK	BF1	1993	81	0
DICK	C2	1992	83	0
DICK	BF2	1992	83	0
DICK	BF2	1992	84	0
DICK	B7	1996	85	0
DICK	BF2	1993	85	0
DICK	C1	1994	90	0
DICK	G3	1996	92	1
DICK	C2	1995	101	0
DICK	BF3	1992	101	0
DICK	BF3	1996	108	0
DICK	BF1	1993	111	0
DICK	B5	1996	49	0
DICK	C3	1992	52	0
DICK	B7	1995	56	1
DICK	B5	1992	56	0
DICK	B5	1992	57	0
DICK	C3	1996	61	0
DICK	C3	1994	62	0
DICK	BF1	1996	64	0
DICK	BF1	1992	64	0
DICK	B5	1992	65	0
DICK	12	1994	68	1
DICK	B5	1992	70	1
DICK	B5	1996	70	1
DICK	C3	1994	71	0
DICK	BF2	1994	71	0
DICK	C2	1996	72	0
DICK	BF1	1996	74	0
DICK	G2	1992	76	0
DICK	B5	1994	77	0
DICK	C3	1996	79	0
DICK	B7	1996	80	1
DICK	B9	1992	80	0
DICK	BF1	1994	88	0
DICK	C1	1992	89	0
DICK	B7	1996	92	1
DICK	B6	1996	92	1
DICK	C1	1994	98	0
DICK	41	1994	105	1
DICK	C1	1995	108	0
DICK	G1	1994	113	0
DICK	BF2	1993	114	0
DICK	C1	1994	116	0
DICK	C3	1992	55	0
DICK	B8	1996	57	0
DICK	BF3	1996	59	0
DICK	C3	1994	60	0
DICK	C3	1996	65	0
DICK	B2	1996	66	0
DICK	46	1996	66	0
DICK	BF1	1992	68	0
DICK	B7	1995	69	0
DICK	B6	1995	77	1
DICK	C3	1995	78	0
DICK	TC1	1993	78	0
DICK	B5	1995	80	0
DICK	C3	1995	80	0
DICK	BF3	1996	95	0
DICK	G1	1994	101	0
DICK	C2	1993	107	0
DICK	C2	1993	111	0
DICK	BF2	1996	53	0
DICK	C3	1996	55	1
DICK	BF1	1996	56	0
DICK	BF2	1992	56	0
DICK	BF1	1995	64	0
DICK	BF1	1996	67	0
DICK	G1	1992	67	0
DICK	G1	1994	68	0
DICK	27	1995	69	1
DICK	BF1	1993	70	0
DICK	BF3	1996	71	0
DICK	BF1	1992	71	0
DICK	B3	1992	73	0
DICK	C1	1996	75	0
DICK	BF1	1992	75	0
DICK	B4	1994	76	1
DICK	BF1	1994	81	0
DICK	BF3	1994	82	0
DICK	B9	1994	83	0
DICK	BF1	1995	85	0
DICK	G1	1992	92	0
DICK	B1	1994	93	0
DICK	C2	1996	99	0
DICK	BF2	1993	99	0
DICK	C1	1995	100	0
DICK	B6	1995	101	0
DICK	G1	1992	101	0
DICK	BF1	1994	102	0
DICK	C2	1996	104	1
DICK	B8	1996	108	0
DICK	27	1995	112	0
DICK	C1	1992	52	0
DICK	B7	1995	55	0
DICK	C3	1994	55	0
DICK	C3	1996	60	0
DICK	C3	1996	60	0
DICK	C1	1992	60	0
DICK	BF2	1996	62	0
DICK	B5	1992	64	0
DICK	C3	1996	67	0
DICK	BF3	1992	71	0
DICK	C1	1992	75	0
DICK	C2	1992	77	0
DICK	BF3	1994	78	0
DICK	B4	1996	79	0
DICK	BF2	1992	79	0
DICK	G1	1994	82	0
DICK	B6	1995	83	1
DICK	C1	1992	89	0
DICK	B9	1994	91	1
DICK	C2	1996	92	0
DICK	B4	1995	96	1
DICK	C2	1995	96	0
DICK	BF1	1996	99	0
DICK	C2	1995	103	0
DICK	B5	1992	48	0
DICK	B5	1992	55	0
DICK	C1	1996	64	0
DICK	C2	1995	68	0
DICK	C1	1996	71	0
DICK	BF1	1992	71	0
DICK	C2	1994	72	0
DICK	B6	1995	74	0
DICK	B5	1996	84	0
DICK	G1	1993	86	0
DICK	C1	1996	93	0
DICK	B7	1994	99	0
DICK	B5	1992	101	0
DICK	C1	1994	102	0
DICK	B7	1995	103	0
DICK	C3	1993	105	0
DICK	C3	1996	106	0
DICK	C1	1993	107	0
DICK	B8	1992	57	0
DICK	G1	1994	63	0
DICK	C3	1996	63	0
DICK	BF3	1992	64	0
DICK	BF2	1995	67	0
DICK	BF1	1996	68	0
DICK	B9	1992	74	0
DICK	27	1995	79	1
DICK	BF1	1994	80	0
DICK	C3	1996	82	0
DICK	G1	1995	86	1
DICK	B4	1996	86	0
DICK	C1	1993	86	0
DICK	C3	1995	91	0
DICK	BF1	1996	93	0
DICK	C3	1996	94	0
DICK	C1	1995	99	0
DICK	C1	1994	104	0
DICK	B5	1994	105	0
DICK	TC1	1993	110	0
DICK	C2	1995	112	0
DICK	B5	1996	117	0
DICK	C1	1994	72	0
DICK	B8	1996	75	0
DICK	27	1996	78	1
DICK	B4	1993	83	0
DICK	B8	1995	90	0
DICK	C1	1994	90	0
DICK	C3	1994	97	0
DICK	B5	1994	110	0
DICK	B9	1993	113	0
DICK	C2	1992	53	0
DICK	BF2	1995	68	1
DICK	BF3	1996	69	0
DICK	BF3	1992	78	1
DICK	C3	1995	84	0
DICK	C3	1996	92	0
DICK	C3	1992	92	0
DICK	C1	1992	97	0
DICK	C2	1995	98	0
DICK	C1	1993	104	1
DICK	C1	1992	108	0
DICK	BF3	1996	58	0
DICK	B2	1996	59	0
DICK	C3	1996	62	0
DICK	BF2	1995	68	0
DICK	BF3	1992	74	0
DICK	BF2	1992	74	0
DICK	C1	1994	76	1
DICK	B4	1992	80	1
DICK	29	1996	81	0
DICK	C1	1992	87	0
DICK	B6	1995	90	1
DICK	BF3	1995	91	0
DICK	B8	1993	92	0
DICK	B4	1996	93	0
DICK	BF1	1996	95	0
DICK	C1	1994	106	1
DICK	C2	1996	107	0
DICK	C3	1992	107	0
DICK	B2	1994	108	0
DICK	C2	1995	108	1
DICK	C3	1995	110	0
DICK	G1	1993	115	0
DICK	B9	1994	49	0
DICK	C3	1994	58	0
DICK	C3	1994	70	0
DICK	C3	1994	71	0
DICK	B4	1996	79	0
DICK	C2	1996	79	1
DICK	BF3	1992	82	0
DICK	C3	1994	84	0
DICK	C1	1992	87	0
DICK	B9	1994	95	0
DICK	G1	1994	105	0
DICK	B4	1994	108	0
DICK	B5	1994	123	0
DICK	C3	1994	46	0
DICK	B5	1994	48	0
DICK	B5	1992	51	1
DICK	B9	1994	53	0
DICK	G1	1992	56	0
DICK	B5	1994	62	0
DICK	C3	1994	66	0
DICK	BF3	1994	67	0
DICK	B5	1992	68	0
DICK	BF1	1996	70	0
DICK	C3	1996	75	0
DICK	C3	1994	76	1
DICK	B4	1994	77	1
DICK	BF1	1992	77	0
DICK	C3	1992	78	0
DICK	C1	1992	80	0
DICK	B5	1994	81	1
DICK	B5	1992	81	1
DICK	BF1	1992	82	0
DICK	B5	1994	85	0
DICK	B5	1996	89	1
DICK	BF3	1994	89	0
DICK	B5	1992	92	0
DICK	C1	1995	92	0
DICK	BF1	1993	92	0
DICK	BF1	1994	97	0
DICK	B5	1992	102	0
DICK	TC2	1993	106	0
DICK	B5	1994	110	0
DICK	BF1	1996	110	0
DICK	B7	1996	113	0
DICK	BF1	1992	52	0
DICK	BF1	1994	61	0
DICK	C3	1994	64	0
DICK	B5	1994	69	0
DICK	C3	1996	70	0
DICK	C3	1994	70	0
DICK	C3	1996	72	0
DICK	C1	1995	73	1
DICK	BF2	1994	73	0
DICK	C3	1994	75	0
DICK	BF1	1992	83	0
DICK	C1	1996	84	0
DICK	B5	1995	86	1
DICK	C2	1996	86	0
DICK	B4	1996	96	1
DICK	C3	1994	99	0
DICK	B5	1992	102	0
DICK	C3	1996	107	0
DICK	B5	1994	114	0
DICK	B3	1994	115	0
DICK	C3	1996	54	0
DICK	B9	1992	60	0
DICK	B9	1992	62	1
DICK	B3	1992	64	0
DICK	C3	1992	72	0
DICK	G1	1992	73	0
DICK	BF1	1992	75	1
DICK	C1	1996	81	0
DICK	B5	1994	84	0
DICK	C3	1994	88	0
DICK	39	1996	94	0
DICK	C3	1995	101	0
DICK	C3	1996	103	0
DICK	C1	1996	107	0
DICK	BF1	1994	112	0
DICK	B5	1992	114	0
DICK	C1	1994	59	1
DICK	C3	1996	66	0
DICK	B9	1995	78	0
DICK	B9	1994	81	0
DICK	C1	1992	82	0
DICK	TC2	1993	84	1
DICK	C2	1994	85	0
DICK	C3	1996	96	0
DICK	B5	1994	97	0
DICK	C2	1996	99	1
DICK	45	1994	105	0
DICK	BF1	1995	110	0
DICK	C1	1994	116	0
DICK	B5	1992	62	1
DICK	BF1	1992	70	0
DICK	C3	1996	80	0
DICK	C2	1994	86	0
DICK	C3	1996	88	0
DICK	BF1	1995	95	0
DICK	BF2	1993	111	0
DICK	B1	1994	116	0
DICK	BF1	1992	55	0
DICK	BF3	1992	58	0
DICK	B5	1994	71	0
DICK	G1	1995	77	0
DICK	B6	1996	80	0
DICK	B7	1993	86	1
DICK	C2	1996	87	1
DICK	29	1994	88	0
DICK	C2	1996	96	1
DICK	C2	1994	98	0
DICK	C3	1995	99	0
DICK	B9	1993	101	0
DICK	C3	1994	107	0
DICK	BF2	1995	109	0
DICK	C3	1996	58	0
DICK	B2	1995	62	0
DICK	C1	1996	70	0
DICK	B6	1995	74	1
DICK	B5	1994	77	0
DICK	BF1	1994	84	0
DICK	B9	1994	91	0
DICK	B9	1994	91	0
DICK	TC2	1993	97	1
DICK	C1	1994	98	0
DICK	C2	1993	99	0
DICK	B9	1993	116	0
DICK	B7	1996	66	1
DICK	C2	1996	90	0
DICK	C3	1996	94	0
DICK	B9	1995	99	0
DICK	TC2	1993	101	1
DICK	C1	1994	76	0
DICK	C1	1992	79	0
DICK	23	1995	85	0
DICK	B8	1995	87	0
DICK	B9	1995	90	1
DICK	BF2	1994	91	0
DICK	BF3	1994	85	1
DICK	B5	1994	71	1
DICK	B9	1994	77	0
DICK	10	1994	90	0
DICK	B5	1994	92	0
DICK	C2	1994	98	0
DICK	C3	1994	109	0
DICK	B7	1994	76	1
DICK	BF3	1994	89	0
DICK	B9	1995	102	0
DICK	BF3	1995	103	0
DICK	B9	1996	106	1
DICK	C2	1994	86	0
DICK	19	1996	95	0
DICK	B3	1994	97	0
DICK	C3	1994	81	0
DICK	C1	1994	85	0
DICK	C3	1996	86	0
DICK	B5	1992	90	0
DICK	35	1994	92	0
DICK	C1	1996	96	0
DICK	13	1994	112	0
DICK	B4	1996	115	1
DICK	45	1995	116	0
DICK	C1	1994	80	0
DICK	BF1	1996	93	0
DICK	B6	1996	99	1
DICK	B5	1996	100	0
DICK	B7	1996	66	1
DICK	B7	1996	67	1
DICK	C3	1994	79	0
DICK	B9	1992	83	0
DICK	B7	1993	99	1
DICK	C3	1994	108	0
DICK	BF2	1994	76	0
DICK	40	1994	88	0
DICK	C2	1994	96	0
DICK	35	1996	97	0
DICK	BF2	1992	105	0
DICK	C1	1996	68	0
DICK	29	1996	110	0
DICK	B5	1992	48	0
DICK	7	1994	84	0
DICK	18	1994	85	1
DICK	6	1994	86	1
DICK	B5	1994	96	0
DICK	B7	1994	99	0
DICK	9	1994	102	0
DICK	33	1994	108	1
DICK	B7	1992	48	1
DICK	27	1996	94	1
DICK	B9	1996	97	0
DICK	B5	1996	86	1
DICK	B6	1994	103	1
DICK	B7	1993	93	0
DICK	40	1995	112	0
DICK	35	1994	115	0
DICK	B2	1996	68	0
DICK	45	1994	97	0
DICK	B7	1996	91	0
DICK	B9	1993	114	0
DICK	B5	1992	77	1
DICK	29	1994	88	0
DICK	33	1994	102	1
DICK	36	1994	103	0
DICK	30	1994	NA	0
DICK	27	1996	113	1
DICK	C1	1994	98	0
DICK	36	1996	103	1
DICK	B7	1994	105	1
DICK	23	1995	106	0
DICK	C2	1994	109	0
DICK	B7	1994	75	0
DICK	B7	1994	88	1
DICK	BF1	1994	95	0
DICK	40	1994	97	1
DICK	B9	1996	102	1
DICK	C3	1994	104	0
DICK	30	1995	102	0
DICK	27	1995	68	0
DICK	18	1994	113	0
DICK	B6	1996	87	1
DICK	B5	1994	97	0
DICK	29	1995	115	0
DICK	18	1996	93	0
DICK	30	1996	87	1
DICK	17	1992	99	0
DICK	23	1994	100	0
DICK	35	1994	112	0
DICK	G1	1995	57	0
DICK	30	1995	115	0
DICK	30	1994	86	0
DICK	B7	1996	108	1
DICK	32	1994	110	0
DICK	34	1994	113	1
DICK	B9	1994	99	0
DICK	B4	1993	115	0
DICK	36	1994	109	0
DICK	30	1994	97	1
